,mean,date
453260.0,15109.556801273451,2011-10-01
453280.0,15109.171196951536,2011-10-01
453292.0,15089.637225531236,2011-10-01
453294.0,15127.923128315568,2011-10-01
453296.0,15206.902878721769,2011-10-01
453298.0,15156.36200606921,2011-10-01
453464.0,15208.64478121118,2011-10-01
453482.0,15430.748243024373,2011-10-01
453484.0,15411.14738544936,2011-10-01
453486.0,15367.645375913866,2011-10-01
453488.0,15408.59812900585,2011-10-01
452438.0,15128.672137322874,2011-10-01
453471.0,15234.169084390009,2011-11-01
453473.0,15213.514119205169,2011-11-01
453475.0,15224.459402245084,2011-11-01
453477.0,15229.79418267335,2011-11-01
453479.0,15329.235108276987,2011-11-01
453491.0,15414.582324033452,2011-11-01
453493.0,15433.963514723497,2011-11-01
453495.0,15385.996907294955,2011-11-01
453497.0,15317.468366461046,2011-11-01
453499.0,15402.750451099622,2011-11-01
453801.0,15162.00494655849,2011-11-01
453803.0,15197.65508480869,2011-11-01
453805.0,15059.498675235012,2011-11-01
453807.0,15040.092281624778,2011-11-01
453809.0,14946.223008198269,2011-11-01
454061.0,15402.419955806698,2011-11-01
454063.0,15322.121374482493,2011-11-01
454065.0,15277.6316019209,2011-11-01
454067.0,15140.802416069784,2011-11-01
454069.0,15153.117649516997,2011-11-01
452100.0,14961.783604119826,2011-11-01
452300.0,15072.92452854281,2011-11-01
453141.0,15071.157916353755,2011-11-01
453143.0,15112.866937207298,2011-11-01
453145.0,15102.213668477869,2011-11-01
453147.0,15080.666920885693,2011-11-01
453149.0,15006.702377991338,2011-11-01
453210.0,15064.647779746958,2011-11-01
453230.0,15106.55070848374,2011-11-01
453250.0,15070.524736577738,2011-11-01
453270.0,15111.019115039682,2011-11-01
453291.0,15129.373725882682,2011-11-01
453293.0,15163.690115537527,2011-11-01
453295.0,15188.371635819094,2011-11-01
453297.0,15204.424493060427,2011-11-01
453299.0,15170.55158877805,2011-11-01
453410.0,15112.064785458064,2011-11-01
453430.0,15141.93121163002,2011-11-01
453450.0,15185.543551241535,2011-11-01
453461.0,15192.965231905257,2011-11-01
453463.0,15153.410914878108,2011-11-01
453478.0,15353.752236318784,2011-11-01
453481.0,15355.739897368583,2011-11-01
453483.0,15524.945182684043,2011-11-01
453485.0,15344.094145371608,2011-11-01
453492.0,15417.6563973788,2011-11-01
453494.0,15404.305817907549,2011-11-01
453487.0,15387.818598537122,2011-11-01
453489.0,15411.812037840233,2011-11-01
453496.0,15385.93422715833,2011-11-01
453498.0,15392.562826658926,2011-11-01
453806.0,15053.566852059095,2011-11-01
453808.0,15000.74351320758,2011-11-01
454062.0,15412.04469043058,2011-11-01
454064.0,15154.994581505192,2011-11-01
454066.0,15191.679953855184,2011-11-01
454068.0,15096.422350888835,2011-11-01
452411.0,15055.62397304849,2011-11-01
452413.0,15003.539925356192,2011-11-01
452415.0,14996.967947830806,2011-11-01
452417.0,15040.620195653604,2011-11-01
452419.0,15055.429558429343,2011-11-01
452431.0,15073.163127867136,2011-11-01
452433.0,15054.768630113906,2011-11-01
452435.0,15054.285273079726,2011-11-01
452437.0,15037.240487472303,2011-11-01
453146.0,15086.9972043964,2011-11-01
453148.0,14990.824691927675,2011-11-01
453240.0,15066.059036384117,2011-11-01
453260.0,15046.765007485108,2011-11-01
453280.0,15104.832591507336,2011-11-01
